Aaron
Michael
Mnaso
Moloch
Moses
Naaman
Naasson
Nachor
Naggae
Nahum
Naim
Narcissus
Nathan
Nathanael
Nazaraeus
Nazarenus
Nazareth
Nephthali
Neri
Nicodemus
Nicolaitae
Nicolaus
Niger
Niniuitae
Noe
Obed
Oliuetum
Onesimus
Onesiphorus
Osee
Ozias
Parmenas
Patara
Patmus
Patrobas
Persida
Petrus
Phaleg
Phanuhel
Pharao
Phares
Pharisaeus
Philadelphia
Philemo
Philologus
Phlegon
Phoenix
Pilatus
Priscilla
Prochorus
Pudens
Rachel
Ragau
Rahab
Rama
Rebecca
Rempham
Resa
Roboam
Ruben
Ruth
Sabaoth
Sadducaei
Sadoc
Salamina
Salathiel
Sale3
Salim
Salmon2
Salmone
Salome
Salomon
Samaria
Samaritanus
Samuel
Sapphira
Sarepta
Sarona
Sarra
Satanas
Saul
Saulus
Sceua
Sem
Semei
Seruch
Seth
Sichar
Sichem
Silas
Siloe
Sina
Sion
Sodoma
Sosipater
Sosthenes
Stachys
Stephanas
Stephanus
Susanna
Syntiche
Syrophoenissa
Tabitha
Tarsensis
Thaddaeus
Thalassa
Thamar
Thara
Thessalonicensis
Theudis
Thomas
Thyatira
Thyatireni
Tiberias
Trachonitis
Trophimus
Tryphosa
Tychicus
Tyrannus
Vrbanus
Vrias
Zabulon
Zachaeus
Zacharia
Zara
Zebedaeus
Zelotes
Zenas
Zorobabel
abominatio
abstergo
abundanter
abyssus
acceptabilis
acceptor
accubitus
adaquo
adimpleo
adorator
aeramentum
afflictio
agnitio
agnos
alba
allegoria
alleluia
alleuio
altarium
amarico
amen
amethystos
amodo
anathema
anathematizo
angario
angustio
animaequus
animositas
annauigo
annumero
annunciator
annuncio
apertio
apocalypsis
aporior
apostolatus
apostolus
apprecio
approprio
arcarius
archangelus
archisynagogus
architriclinus
aroma
asina
assumentum
assumptio
auctumnalis
augmentum
aurea
austeris
azymus
baptisma
baptismum
benedico
benedictio
beneplaceo
bimatus2
bithalassus
blasphemia
blasphemo
botrus
brabeum
breuio
buccella
byssinum
byssus
calcaneum
calumnio
captiuo
carchedonius
carnalis
catechisso
cellarium
centeni
centuplum
centuplus
chananeus
character
charisma
chasma
chysoprasus
cibo
cilicinus
cinnamomum
circumamictus
circumcisio
circumfulgeo
citharizo
clarifico
coagito
cognomino
coinquinatus
colaphizo
collaboro
collactaneus
collecta
commanduco
commoratio
compatior
complanto
complexo
compunctio
concaptiuus
concisio
concubitor
concupiscentia
condelector
configuro
conformis
conforto
congaudeo
conglorifico
congratulor
connumero
conscindo
consepelio
conspersio
constristo
contaminatio
contemptibilis
contenebro
contribulis
contritio
conuescor
conuiuifico
cooperator
cooperor
corbana
coriarius
corresuscito
corrigia
corruptibilis
coutor
creatura
cribro
crucifigo
daemonium
dealbatus
deauro
decaluo
deceptio
delibatio
demento
desolatio
desponso
destructio
desursum
deturpo
deuasto
deuorator
diabolus
diaconus
didrachma
dilectio
discretio
discubitus
dispersio
disseco
domesticus
dormitio
ducatus
dysenteria
eleemosyna
emundatio
encaenia
epicureus
episcopatus
eruditor
ethnicus
euacuo
euagino
euangelista
euangelium
euangelizo
exalto
exfornicatus
exorcista
expletio
extasis
extergo
exterminator
factura
fantasma
fermento
ficulnea
fiducialiter
figmentum
fornicaria
fornicarius
fornicator
fornicor
fractio
fructifico
fumigo
galaticus
gazophylacium
gehenna
genealogia
generatio
genimen
gentiliter
gloriatio
glorifico
habitaculum
hadrumetinus
haereticus
holocaustoma
honorifico
hortulanus
hosanna
humilio
hymnus
hypocrisis
hypocrites
hysopum
idolatres
idoleum
idololatria
idolothytus
ieiunatio
ieiuno
ignio
ilico
illuminatio
illustratio
immaculatus
immolaticius
immunditia
impoenitens
importabilis
importune
impositio
impossibilis
improperium
inaquosus
incircumcisus
inconsutilis
incorruptela
incorruptibilis
incorruptio
incrasso
incredulitas
inenarrabilis
inexstinguibilis
inhonoro
inobedientia
inobedio
inoperor
inordinate
inquiete
insensatus
inspiratio
insufflo
inuestigabilis
inuisibilis
iota
irreprehensibilis
iterato
iucundo
iudaicus
iudaizo
iustificatio
iustifico
labium
lamento
lampada
lanciarius
legislatio
leprae
leprosus
linteamen
lithostrotus
longanimitas
lunaticus
magice
magnalia
mammona
manico
manifestatio
manna2
mansio
manufactus
martyr
mediator
mercenarius
mino
minoro
momentaneus
mortificatio
mortifico
multiloquium
myrrhatus
natatoria
natiuitas
nauclerius
neomenia
nequando
nuditas
obeditio
oblatio
obligatio
obuio
odibilis
odoramentum
omega
opitulatio
orphanus
ostensio
ostiaria
paracletus
paradisus
parasceue
participatio
pascha1
passibilis
passio
pastino
paternitas
patriarcha
paullulum
peccator
peccatrix
pellicius
pentecoste
perditio
peripsema
permundo
persecutio
persuasibilis
pertranseo
petrosus
phylacterium
pigritor
pinguido
pinnaculum
pisticus
plantatio
plenitudo
poderes
possibilis
potator
potiono
praecessor
praedestino
praefinitio
praeordino
praesaepium
praescientia
praescio
pressura
primatus
primitiuus
primogenitus
principor
probaticus
propheta
prophetatio
prophetia
prophetissa
prophetizo
propheto
propitiatio
proselytus
prostitutio
protestor
psalmus
pseudapostolus
pseudochristus
pseudopropheta
purificatio
purifico
purpuraria
pusillanimis
quadruplus
quadrus
quantus
quaternio
quatriduanus
quoadusque
quotidianus
quotidie
rabbi
rabboni
radico
rationabilis
reaedifico
recubitus
redargutio
refloresco
refrigerium
regeneratio
regulus
reinuito
renouatio
reprehensibilis
reprobo
reprobus
reptile
requietio
resolutio
resurrectio
resuscito
retributio
reuelatio
rhomphaea
rufus
rugio
sagena
salio
saluator
saluifico
saluo
salutare
sanctificatio
sanctifico
sandalium
sapphirus
sardius
satum
scaenofactorius
scaenopegia
scandalizo
scandalum
schisma
scopa
scorpios
secto
seductor
seminiuerbius
sericum
sicera
signaculum
simila
sinapi
sindon
sirius
smaragdinus
spineus
spiritalis
spiritaliter
stater
sterquilinium
stoicus
subintro
subintroduco
subintroeo
subministratio
subnauigo
succlamo
sufficientia
superabundanter
superabundo
superadultus
superaedifico
supercetor
supereffluo
supererogo
superextendo
superimpendo
superinduo
superlucror
superordino
superscriptio
supersemino
supersubstantialis
superuestio
suprascriptio
sustentatio
sustinentia
susurratio
sycomorus
synagoga
teloneum
temporalis
tentatio
terraemotus
thesaurizo
thronus
thyinus
timefactus
timoratus
topazius2
transfreto
transmigratio
transnauigo
transplanto
tribulatio
trituro
turbatio
turpilucrus
typhonicus
ua
ualefacio
uentilabrum
uersutia
ueterasco
uillico
uindemio
uisibilis
uisio2
uiuifico
unanimis
unanimiter
unigenitus
y
zelo
zizania2
