Lemma	Mark	Nature	Description	Formes communes	Code
Dryas		NOMpro	Auto. 	Dryas, Dryades	13
Drymo		NOMpro	Auto. (Greek)	Drymo	17
Dryope		NOMpro	Auto. (Greek)	Dryope	17
Dryopes		NOMpro	Auto. 	Dryopes	13
Dryops	, Dryopis	NOMpro	Auto. 	Dryops, Dryopem	13
dubie		ADV	 	dubie	60
Dubis		NOMpro	Auto. 	Dubis	13
dubitabilis	, is	ADJqua	 		24
dubitanter		ADV	 	dubitanter	60
dubitatim		ADV	 		60
dubitatio	, nis	NOMcom	 	dubitatione, dubitatio	13
dubitatiuus	, a, um	ADJqua	 		21
dubitator	, is	NOMcom	 		13
dubito	, as, are	VER	 	dubito, dubitare	51
dubium	, i	NOMcom	 =RES DVB IA (Sg.,Pl.) 	dubio, dubium	12
dubius	, a, um	ADJqua	 	dubium, dubia	21
ducenarius	, i	ADJqua	Auto. 	ducenaria	2
duceni		ADJdis	 		33
Ducenius	, i	NOMpro	Auto. 	Ducenio, Ducenium	12
ducentesima	, ae	NOMcom	 	ducentesimam	11
ducentesimus		ADJord	 	ducentesimum, ducentesimo	32
ducenti		ADJcar	 	200, ducentis	31
ducentiens		ADJqua	Auto. 	ducentiens, ducenties	2
ducenties		ADJadv.mul	 	ducentiens	36
ducenus	, i	ADJqua	Auto. 	ducenos, ducenis	2
duco	, is, ere	VER	 	ducere, ducit	53
ductarius	, a, um	ADJqua	 		21
ductim		ADV	Auto. 	ductim	6
ductio	, nis	NOMcom	 		13
ductito	, as, are	VER	Auto. 	ductitabo	51
ducto	, are	VER	 	ductare, ductauerat	51
ductor	, is	NOMcom	 	ductor, ductores	13
ductus	, us	NOMcom	 	ductu, ductus	14
dudum		ADV	 	dudum	60
duellator	, is	NOMcom	Auto. 	duellatores	13
duellicus	, i	ADJqua	Auto. 	duellica	2
Duellius	, i	NOMpro	Auto. 	Duellio, Duellium	12
duellum	, i	NOMcom	 	duelli, duello	12
duetuicesimus		ADJqua	Auto. 	duetuicensima, duetuicensimae	2
Duilius	, i	NOMpro	 		12
dulce1		NOMcom	 La Douceur (propre et Fig.) 	dulce	13
dulce2		ADV	 	dulce, dulcius	60
dulcedo	, inis	NOMcom	 	dulcedine, dulcedo	13
dulcesco	, is	VER	 	dulcescunt, dulcescit	53
dulcis	, is	ADJqua	 	dulcis, dulce	24
dulciter		ADV	Auto. 	dulciter	6
Dulgubini	, i	NOMpro	Auto. 	Dulgubini	12
Dulichia	, ae	NOMpro	Auto. 	Dulichiae	11
Dulichii	, i	NOMpro	Auto. 	Dulichii	12
Dulichium	, i	NOMpro	Auto. 	Dulichium	12
Dulichius		ADJqua	Auto. 	Dulichio, Dulichias	2
dum1		ADV	 	dum	60
dum2		CONsub	 	dum	82
dumetum	, i	NOMcom	 	dumeta, dumetis	12
dummodo		CONsub	 (forme en 1 ou 2 mots) 	dummodo	82
Dumnacus	, i	NOMpro	Auto. 	Dumnacus, Dumnaco	12
Dumnorix	, Dumnorigis	NOMpro	Auto. 	Dumnorigem, Dumnorix	13
dumosus	, a, um	ADJqua	 	dumosis, dumosa	21
dumtaxat		ADV	 (forme en 1 ou 2 mots) 	dumtaxat	60
dumus	, i	NOMcom	 	dumis, dumos	12
duo		ADJcar	 	duo, duas	31
duodeciens		ADJqua	Auto. 	duodecies	2
duodecim		ADJcar	 	duodecim, 12	31
duodecimus		ADJord	 	12, duodecima	32
duodeni		ADJdis	 	duodena, duodenis	33
duodenus		ADJqua	Auto. 	duodena, duodenos	2
duodequadraginta		ADJcar	 		31
duodetricesimus		ADJord	 	28, duodetricensimo	32
duodetriciens		ADJqua	Auto. 	duodetriciens	2
duodetricies		ADJadv.mul	 		36
duodetriginta		ADJcar	 	duodetriginta	31
duodeuicesimus		ADJord	 	duodeuicensimum, duodeuicensimam	32
duodeuiginti		ADJcar	 	18, duodeuiginti	31
duoetuicesimani	, i	NOMcom	Auto. 	duoetuicensimanos, duoetuicensimani	12
duoetuicesimus		ADJord	 	duoetuicensima, duoetuicensimae	32
dupla	, ae	NOMcom	 (Sous-entendu PECVNIA) 	dupla	11
duplex	, icis	ADJmul	 	duplex, duplici	34
duplicatio	, nis	NOMcom	 		13
dupliciter		ADV	 	dupliciter	60
duplico	, as	VER	 	duplicato, duplicata	51
duplo1	, as, are	VER	 		51
duplo2		ADV	 		60
duplum	, i	NOMcom	 (Uniquement au SINGULIER) 	duplum, dupli	12
duplus	, a, um	ADJqua	 		21
durabilis	, is	ADJqua	 	durabile	24
duracinus	, a, um	ADJqua	 	duracinas	21
duramen	, inis	NOMcom	 	duramen	13
duramentum	, i	NOMcom	 	duramentum	12
durateus	, a, um	ADJqua	 	durateus	21
Duratius	, i	NOMpro	Auto. 	Durati, Duratium	12
dure		ADV	 	durius, dure	60
dureo		VER	 (pas de Parfait) 		52
duresco	, is, ere	VER	 	durescere, durescit	53
duriter		ADV	 	duriter	60
duritia	, ae	NOMcom	 	duritia, duritiam	11
durities	, ei	NOMcom	 	duritiem	15
duritudo	, inis	NOMcom	 	duritudinem	13
Durius	, i	NOMpro	Auto. 	Durium	12
duriusculus	, i	ADJqua	Auto. 	duriusculos	2
duro	, as, are	VER	 	durare, durat	51
Durocortorum	, i	NOMpro	Auto. 	Durocortorum	12
durum	, i	NOMcom	 (A tous les sens de DVRVS;Sg.,Pl.) 	dura, duris	12
durus	, a, um	ADJqua	 	dura, durum	21
duumuir	, i	NOMcom	 	iiuiris, iiuiri	12
duumuiratus	, us	NOMcom	Auto. 	duumuiratu, duumuiratum	14
dux	, ducis	NOMcom	 	duces, duce	13
Dymas		NOMpro	Auto. (Greek)	Dymas	17
Dymnus	, i	NOMpro	Auto. 	Dymnus, Dymni	12
dynastes		NOMcom	 (Greek)	dynastis, dynastas	17
Dyrrachini	, i	NOMpro	Auto. 	Dyrrachinorum, Dyrrachinis	12
Dyrrachinus		ADJqua	Auto. 	Dyrrachinis, Dyrrachino	2
Dyrrachium	, i	NOMpro	 		12
dyseros		NOMcom	 (Greek)		17
Dysparis		NOMpro	Auto. (Greek)	Dyspari	17
dyspepsia	, ae	NOMcom	 	dyspepsiam	11
ea		ADV	 	ea	60
eadem		ADV	 	eadem	60
eatenus		ADV	 	eatenus	60
ebenus	, i	NOMcom	 	hebenum	12
ebibo2	, is, ere	VER	 	ebibat, ebibit	53
eblandior	, iris	VER	 	eblandita, eblanditur	5M
eboreus	, i	ADJqua	Auto. 	eboreo	2
ebrietas	, tis	NOMcom	 	ebrietas, ebrietate	13
ebriolus	, i	ADJqua	Auto. 	ebriola, ebrioli	2
ebriosus	, a, um	ADJqua	 	ebrioso, ebriosum	21
ebrius	, a, um	ADJqua	 	ebrius, ebria	21
ebullio		VER	 	ebulliit, ebulliat	54
ebulum	, i	NOMcom	 	ebulum, ebuli	12
ebur	, oris	NOMcom	 	ebur, ebore	13
eburatus	, i	ADJqua	Auto. 	eburata	2
eburneus	, a, um	ADJqua	 	eburno, eburna	21
eburnus	, i	ADJqua	Auto. 	eburna, eburno	2
Eburones	, Eburonis	NOMpro	Auto. 	Eburones, Eburonum	13
Eburouices	, Eburouicis	NOMpro	Auto. 	Eburouices, Eburouicibus	13
Ebusus	, i	NOMpro	Auto. 	Ebyso	12
ecastor		INJ	Auto. 	ecastor	9
Ecbatana	, i	NOMpro	Auto. 	Ecbatana, Ecbatanis	12
Ecbolima	, i	NOMpro	Auto. 	Ecbolima	12
ecce		INJ	 	ecce, eccum	90
eccere		ADV	Auto. 	eccere	6
ecclesia	, ae	NOMcom	 	ecclesia	11
ecclesiasterion		NOMcom	 (Greek)		17
ecdicus	, i	NOMcom	Auto. 	ecdicus	12
Ecetrani	, i	NOMpro	 		12
echea		NOMcom	 (Greek)		17
Echecratides		NOMpro	Auto. (Greek)	Echecratides	17
echeneis	, dis	NOMcom	Auto. 	echenais	13
echidna	, ae	NOMcom	Auto. 	echidnae	11
echinus	, i	NOMcom	 	echinos, echini	12
Echion		NOMpro	Auto. (Greek)	Echion	17
Echionius		ADJqua	Auto. 	Echionium, Echioniae	2
echo		NOMcom	 (Greek)	Echo, echo	17
ecloga	, ae	NOMcom	Auto. 	eclogas	11
ecnubo		VER	 		53
ecphora	, e	NOMcom	 (Greek)		17
ecquando		ADVint	 	ecquando	67
ecqui		ADVint	 	ecqui	67
ecquid		ADVint	 	ecquid	67
ecquis		PROint	 	ecquis, ecquid	47
ecquisnam		PROint	 	ecquidnam, ecquonam	47
ecquo		ADVint	 	ecquo	67
ectypus	, a, um	ADJqua	 	ectypa	21
edax	, cis	ADJqua	 	edax, edacibus	25
edentulus	, i	ADJqua	Auto. 	edentuli	2
edepol		INJ	Auto. 	edepol	9
Edessa	, ae	NOMpro	Auto. 	Edessam	11
edico2	, is, ere	VER	 	edixit, edicit	53
edictio	, nis	NOMcom	Auto. 	edictiones	13
edicto	, as	VER	Auto. 	edictas, edictaui	51
edictum	, i	NOMcom	 L'ordre, L'Edit 	edicto, edictum	12
edisco	, is, ere	VER	 	ediscere, ediscit	53
edissero2	, is	VER	 	edissere, edisseris	53
edisserto	, as, are	VER	Auto. 	edisserta, edissertauit	51
edita	, i	NOMcom	 	edita, editis	12
editicius	, i	ADJqua	Auto. 	editicios, editicii	2
editio	, nis	NOMcom	 	editione, editionem	13
editum	, i	NOMcom	 =EXCELSITAS (Sg.,Pl.) 	edito	12
editus1	, us	NOMcom	 		14
editus2	, a, um	ADJqua	 =ALTVS, EXCELSVS 	edito, edita	21
edo1	, is, ere	VER	 	edidit, edere	53
edo2	, is, es, sse, ere	VER	 	esse, edit	56
edoceo	, es, ere	VER	 	edocet, edoctus	52
edomo	, as, are	VER	 	edomuit, edomito	51
Edoni	, i	NOMpro	Auto. 	Edonis	12
Edonis		NOMpro	Auto. 	Edonis	13
Edonus		ADJqua	Auto. 	Edono, Edonas	2
edormio		VER	 	edormit, edormitur	54
edormisco		VER	Auto. 	edormiscat	53
educatio	, nis	NOMcom	 	educatio, educationis	13
educator	, is	NOMcom	 	educator, educatoris	13
educo1	, as, are	VER	Élever, instruire	educatus, educat	51
educo2	, is, ere	VER	Faire sortir	eduxit, educit	53
eductio	, nis	NOMcom	 	eductio	13
edulis	, is	ADJqua	 	edulis	24
eduro	, as	VER	 	edurat	51
edurus	, a, um	ADJqua	 	eduram	21
Eetion		NOMpro	Auto. 	Eetion, Eetionis	13
effarcio		VER	 	effarciuntur	54
effatum	, i	NOMcom	 =DICTVM 	effatum	12
effectum	, i	NOMcom	 =ID QVOD FACTVM EST 		12
effectus1	, us	NOMcom	 	effectum, effectus	14
effectus2	, a, um	ADJqua	 =PERFECTVS 	effectos	21
effeminate		ADV	 	effeminate	60
effeminatus	, a, um	ADJqua	 =DELIC AT VS, MOLLIS 	effeminatum, effeminato	21
effemino	, as, are	VER	 	effeminat, effeminandos	51
efferatus	, a, um	ADJqua	 Sauvage 	efferatas, efferatum	21
effercio		VER	 	ecfertus	54
effero1	, as, are	VER	 	efferant, efferauerat	51
effero2	, rs, rre	VER	 	extulit, elatus	56
effertus	, i	ADJqua	Auto. 	ecfertissumas, ecfertum	2
efferueo		VER	 	efferuerit	52
efferuesco	, is, ere	VER	 	efferuescit, efferuescentem	53
efferuo	, ere	VER	 	efferuere	53
efferus	, a, um	ADJqua	 	effera, efferum	21
effetus	, a, um	ADJqua	 	effeta, effetum	21
efficaciter		ADV	 	efficacius, efficacissime	6&
efficax	, cis	ADJqua	 	efficax, efficacia	25
efficiens1		NOMcom	 =EFFECTRIX 	efficiens	13
efficiens2	, tis	ADJqua	 Efficient 	efficientia, efficiens	25
efficientia	, ae	NOMcom	 		11
efficio	, is, ere	VER	 	efficere, efficit	55
effigia	, ae	NOMcom	 	effigias, effigiae	11
effigies	, ei	NOMcom	 	effigies, effigiem	15
effingo	, is, ere	VER	 	effingit, effingere	53
efflagitatio	, nis	NOMcom	 	efflagitatio	13
efflagitatus	, us	NOMcom	 	efflagitatu	14
efflagito	, as	VER	 	efflagitatus, efflagitata	51
efflictim		ADV	Auto. 	ecflictim	6
effligo		VER	 	ecfliges, effligimus	53
efflo	, as, are	VER	 	efflat, efflantem	51
effloresco	, is	VER	 	efflorescit	53
effluo	, is, ere	VER	 	effluat, effluunt	53
effluuium	, i	NOMcom	 	effluuio	12
effodio	, ere	VER	 	effossis, effossa	55
effor	, aris, ari	VER	 	effare, effatus	5J
effractarius	, i	NOMcom	 	effractarius	12
effrenate		ADV	Auto. 	effrenatius, effrenate	6
effrenatio	, nis	NOMcom	Auto. 	effrenatio	13
effrenatus	, a, um	ADJqua	 	effrenata, effrenatam	21
effreno	, as, are	VER	 	effrenata, effrenati	51
effrenus	, a, um	ADJqua	 	effrena, effrenae	21
effrico	, as, are	VER	 	effricanda	51
effringo	, is, ere	VER	 	effracto, effracta	53
effugio	, is, ere	VER	 	effugere, effugit	55
effugium	, i	NOMcom	 	effugium, effugia	12
effulgeo	, ere	VER	 	effulsit, effulgens	52
effultus	, i	ADJqua	Auto. 	effultus, effultum	2
effundo2	, is, ere	VER	 	effudit, effundit	53
effunsus	, a, um	ADJqua	 	effusis	21
effuse		ADV	 	effusius, effuse	60
effusio	, nis	NOMcom	 	effusiones, effusio	13
effusus	, a, um	ADJqua	 =AMPLVS, IMMODICVS 	effusa, effusis	21
effutio	, ire	VER	 	effutire, effutiat	54
effutuo		VER	 	ecfututa	53
egelidus	, a, um	ADJqua	 	egelidum, egelidos	21
egens	, tis	ADJqua	 Celui à qui il manque quelque chose 	egens, egentem	25
egenus	, a, um	ADJqua	 	egenis, egenum	21
egeo	, es, ere	VER	 	eget, egere	52
Egeria	, ae	NOMpro	 		11
Egerius	, i	NOMpro	 		12
egero	, is, ere	VER	 (pas de Sous-lemme) 	egerit, egeritur	53
egestas	, tis	NOMcom	 	egestas, egestate	13
egestio	, nis	NOMcom	Auto. 	egestione	13
egigno		VER	 	egigni	53
Egnatia	, ae	NOMpro	Auto. 	Egnatia	11
Egnatius	, i	NOMpro	 		12
Egnatuleius	, i	NOMpro	Auto. 	Egnatuleio	12
ego		PROper	 	me, mihi	41
egredior	, iris, edi	VER	 	egressus, egredi	5N
egregie		ADV	 	egregie, egregius	60
egregium	, i	NOMcom	 	egregium	12
egregius	, a, um	ADJqua	 	egregium, egregia	21
egressus	, us	NOMcom	 	egressus, egressum	14
egurgito	, as, are	VER	Auto. 	egurgitem	51
ehem		INJ	Auto. 	ehem	9
eheu		INJ	 	eheu	90
eho		INJ	Auto. 	eho	9
ei		INJ	 	ei, i	90
eia		INJ	 	heia, eia	90
eiaculor		VER	 	eiaculatus	5J
eicio	, is, ere	VER	 	eiectus, eiecit	55
eiectamentum	, i	NOMcom	 	eiectamenta	12
eiectio		NOMcom	 	eiectio	13
eiecto	, as	VER	 	eiectantem, eiectat	51
eiectus	, us	NOMcom	 	eiectus	14
eiulatio	, nis	NOMcom	 	heiulatio, eiulatione	13
eiulatus	, us	NOMcom	 	eiulatu, eiulatus	14
eiulo	, as	VER	 	eiulans, eiulas	51
eiuratio		NOMcom	 	eiuratio	13
eiuro	, as, are	VER	 	eiurare, eiuraret	51
eiusmodi		ADV	 (forme en 1 ou 2 mots) 	eiusmodi	60
elabor2	, iris, abi	VER	 	elapsus, elapsa	5L
elaboro	, are	VER	 	elaborandum, elaboratum	51
elaeothesium	, i	NOMcom	 		12
elanguesco		VER	 	elanguerat, elanguimus	53
Elaptonius	, i	NOMpro	Auto. 	Elaptonius	12
elargior	, iri	VER	 	elargiri	5M
elate1		NOMcom	 (Greek)		17
elate2		ADV	 	elatius	60
Elatea	, ae	NOMpro	Auto. 	Elatiam	11
elatio	, nis	NOMcom	 	elatio, elatione	13
elatro2	, as, are	VER	 	elatrem	51
elatus	, a, um	ADJqua	 =INFLATVS, SVPERBVS (rare) 	elatius, elati	21
Elauer		NOMpro	Auto. 	Elauer	13
elauo	, as, are	VER	 	elota, elaui	51
Eleates		ADJqua	Auto. 	Eleates	2
Eleazarus	, i	NOMpro	Auto. 	Eleazarus, Eleazarum	12
elecebra	, ae	NOMcom	Auto. 	exlecebra	11
electa	, i	NOMcom	Auto. 	electorum	12
electio	, nis	NOMcom	 	electio, electione	13
electo1	, as, are	VER	 (dérivé de ELICIO) 	electabo	51
electo2	, as, are	VER	 (dérivé de ELIGO 2) 		51
Electra	, ae	NOMpro	Auto. 	Electra, Electran	11
electrum	, i	NOMcom	 	electro, electra	12
Electrus	, i	NOMpro	Auto. 	Electri	12
electus1	, us	NOMcom	 	electu	14
electus2	, a, um	ADJqua	 =EXIMIVS, EGREGIVS 	electa, electi	21
elegans	, tis	ADJqua	 	elegans, elegantius	25
eleganter		ADV	 	eleganter, elegantius	60
elegantia	, ae	NOMcom	 	elegantia, elegantiam	11
Elegeia	, ae	NOMpro	Auto. 	Elegeia	11
elegeon		NOMcom	 (Greek)		17
elegi	, i	NOMcom	 	elegos, elegi	12
Elegia	, ae	NOMpro	Auto. 	Elegeia	11
elegidarion		NOMcom	Auto. (Greek)	elegidarion	17
elegidion		NOMcom	 (Greek)	elegidia	17
elego1	, as, are	VER	 (pas de Sous-lemme) 	elegauit	51
Elei	, i	NOMpro	Auto. 	Aleis, Elei	12
Eleleides		NOMpro	Auto. 	Eleleides	13
elementa	, i	NOMcom	 	elementis, elementa	12
elementarius	, a, um	ADJqua	 	elementarius	21
elementum	, i	NOMcom	 	elementa, elementi	12
elenchus	, i	NOMcom	 	elenchos	12
Elephantine		NOMpro	Auto. (Greek)	Elephantinen	17
Elephantis	, idis, f	NOMpro	(Greek)	Elephantidos	17
elephantus	, i	NOMcom	 	elephantos, elephantis	12
elephas		NOMcom	 	elephans, elephas	13
Elesioduli	, i	NOMpro	Auto. 	Elesiodulis	12
eleuo1	, as, are	VER	 	eleuanda, eleuet	51
Eleus		ADJqua	Auto. 	Elei, Aleum	2
Eleusin	, Eleusinis	NOMpro	Auto. (Greek)	Eleusin, Eleusine	17
Eleusinus		ADJqua	Auto. 	Eleusinae	2
Eleusium	, i	NOMpro	Auto. 	Eleusium	12
Eleuteti	, i	NOMpro	Auto. 	Eleutetis	12
Elias		NOMpro	Auto. 	Eliadum	13
elicio	, is, ere	VER	 (pas de Sous-lemme) 	elicere, eliceret	55
Elicius	, i	NOMpro	 		12
Elidensis	, Alidensis	ADJqua	Auto. 	Alidensem	2
elido	, is, ere	VER	 	elisa, elisit	53
eligo3	, is, ere	VER	 	eligere, elige	53
elimino	, as, are	VER	 	eliminet	51
elinguis	, is	ADJqua	 	elinguem	24
elinguo	, as, are	VER	Auto. 	elinguandam	51
eliquesco		VER	 (pas de Temps Primitifs) 		53
eliquo	, as	VER	 	eliquat	51
Elis	, dis	NOMpro	 (Génitif ELIDOS) (Greek)		17
elisio	, nis	NOMcom	 	elisionem	13
Elissa	, ae	NOMpro	Auto. 	Elissae, Elissa	11
Elius	, i	NOMpro	Auto. 	Elius	12
elixus	, a, um	ADJqua	 	elixi, elixa	21
ellipsis		NOMcom	 (Greek)		17
ellum		INJ	Auto. 	ellum	9
ellychnium	, i	NOMcom	 		12
eloco	, as, are	VER	 	elocata, elocatum	51
elocutio	, nis	NOMcom	Auto. 	elocutioni	13
elogium	, i	NOMcom	 	elogium, elogio	12
eloquens	, tis	ADJqua	 	eloquentissimo, eloquentissimus	25
eloquenter		ADV	Auto. 	eloquentissime, eloquentius	6
eloquentia	, ae	NOMcom	 	eloquentia, eloquentiae	11
eloquium	, i	NOMcom	 	eloquio, eloquium	12
eloquor	, qui	VER	 	eloquar, eloqui	5L
Elorini	, i	NOMpro	 		12
Elorinus	, a, um	ADJqua	 		21
Elorus	, i	NOMpro	 		12
Elpenor	, Elpenoris	NOMpro	Auto. (Greek)	Elpenore, Elpenora	17
eluacrum	, i	NOMcom	 	eluacrum	12
eluceo	, es, ere	VER	 	elucet, eluceat	52
eluctor		VER	 	eluctatus, eluctabitur	5J
elucubro	, as, are	VER	 	elucubrauit	51
eludo	, is, ere	VER	 	elusit, elusus	53
elumbis	, is	ADJqua	 	elumbem	24
eluo	, is, ere	VER	 	elui, eluere	53
Elusates		NOMpro	Auto. 	Elusates	13
elutus	, a, um	ADJqua	 	elutius	21
eluuies	, ei	NOMcom	 	eluuies, eluuie	15
eluuio		NOMcom	Auto. 	eluuionis	13
Elymaei	, i	NOMpro	Auto. 	Elymaeis	12
Elysii	, i	NOMpro	Auto. 	Elysiis	12
Elysium	, i	NOMpro	Auto. 	Elysium	12
Elysius		ADJqua	Auto. 	Elysios, Elysii	2
em		INJ	Auto. 	em	9
emaceratus	, a, um	ADJqua	 	emaceratos	21
emacitas	, tis	NOMcom	Auto. 	emacitatis	13
emancipatio	, nis	NOMcom	Auto. 	emancipatione	13
emancipo	, as, are	VER	 	emancipatus, emancipauit	51
emano	, as, are	VER	 	emanet, emanare	51
emarceo		VER	 (pas de Parfait) 		52
emarcesco		VER	 	emarcuit	53
Emathia	, ae	NOMpro	Auto. 	Emathiae, Emathiam	11
Emathion		NOMpro	Auto. (Greek)	Emathiona	17
emax	, cis	ADJqua	 	emacem, emaci	25
embasicoetas		NOMcom	Auto. (Greek)	embasicoetan, embasicoetas	17
embater		NOMcom	 (Greek)		17
emblema	, tis	NOMcom	 (Greek)	emblematum, emblemate	17
embolium	, i	NOMcom	 	embolia	12
embolum	, i	NOMcom	Auto. 	embolum	12
embolus	, i	NOMcom	 		12
emendabilis	, is	ADJqua	 	emendabilem	24
emendate		ADV	 	emendate	60
emendatio	, nis	NOMcom	 	emendationem, emendatione	13
emendator	, is	NOMcom	 	emendator, emendatorem	13
emendatus	, a, um	ADJqua	 =POLLITVS, PERFECTVS 	emendata, emendatus	21
emendicaticius	, a, um	ADJqua	 	emendicaticiis	21
emendo	, as, are	VER	 	emendat, emendare	51
ementior	, iris	VER	 	ementitus, ementitur	5M
emercor	, aris	VER	 	emercatur, emercatus	5J
emereo		VER	 	emeruit, emeritis	52
emereor		VER	 	emerita, emerito	5K
emergo	, is, ere	VER	 	emergere, emergit	53
Emeritenses	, Emeritensis	NOMpro	Auto. 	Emeritensibus	13
emeritum	, i	NOMcom	 =PRAEMIVM, MERCES (terme de la langue Militaire) 		12
emeritus	, a, um	ADJqua	 	emeritis, emeritum	21
emersus	, us	NOMcom	 		14
emetior	, is	VER	 	emensus, emensi	5M
emeto2		VER	 	emetat	53
emico	, as, are	VER	 	emicat, emicuit	51
emigro	, as	VER	 	emigrent, emigrat	51
eminatio	, nis	NOMcom	Auto. 	eminatiost	13
eminens	, tis	ADJqua	 =ALTVS, EDITVS;CONSPICVVS, EXCELLENS 	eminens, eminentibus	25
emineo	, es, ere	VER	 	eminet, eminebat	52
eminor	, as, are	VER	Auto. 	eminor	51
eminus		ADV	 	eminus	60
emiror		VER	 	emirabitur	5J
emissarius	, i	NOMcom	 	emissarium, emissarius	12
emissicius	, i	ADJqua	Auto. 	emissiciis	2
emissus	, us	NOMcom	 	emissum	14
emitto	, is, ere	VER	 	emittere, emisit	53
emo	, is, ere	VER	 	emi, emere	53
emoderor		VER	 	emoderandus	5J
emodulor		VER	 	emodulanda	5J
emolior	, ier	VER	 	emoliuntur, emolirier	5M
emollio	, is	VER	 	emollit, emolliat	54
emolo		VER	 	emole	53
emolumentum	, i	NOMcom	 	emolumenti, emolumento	12
emorior	, iris, ori	VER	 	emori, emortuom	5N
emoueo		VER	 	emota, emouit	52
Empedocles		NOMpro	Auto. 	Empedocles	13
emplastrum	, i	NOMcom	 	emplastrum	12
emplectos		ADJqua	 (Greek)		27
emporium	, i	NOMcom	 	emporium	12
empticius	, i	ADJqua	Auto. 	empticius	2
emptio	, nis	NOMcom	 	emptio, emptionibus	13
emptito	, as, are	VER	 	emptitauere, emptitant	51
emptor	, is	NOMcom	 	emptor, emptorem	13
emulgeo		VER	 	emulsa, emulso	52
emundo	, as, are	VER	 	emundanda	51
emungo		VER	 	emunxisti, emungare	53
emunio2	, ire	VER	 	emuniendis, emunita	54
en		INJ	 	en, ellum	90
enarrabilis	, is	ADJqua	 	enarrabile	24
enarratio	, nis	NOMcom	 	enarratio	13
enarro	, are	VER	 	enarrare, enarra	51
enascor	, iris	VER	 	enatam, enata	5L
enato	, as	VER	 	enatat, enatauerunt	51
enauigo	, are	VER	 	enauiganda, enauigare	51
encarpi	, i	NOMcom	 		12
encelados		NOMcom	 (Greek)	enceladon	17
Enceladus	, i	NOMpro	Auto. 	Enceladus, Encelado	12
enchytum	, i	NOMcom	 	encytum	12
enclima	, tis	NOMcom	 (Greek)		17
Encolpius	, i	NOMpro	Auto. 	Encolpi, Encolpion	12
encyclios	, i	ADJqua	 (Greek)		27
endromis	, dis	NOMcom	 (Greek)	endromidem, endromidas	17
Endymion		NOMpro	Auto. (Greek)	Endymion	17
eneco	, as	VER	 	enicat, enicas	51
eneruatus	, a, um	ADJqua	 Amolli 	eneruati, eneruatis	21
eneruis	, is	ADJqua	 	eneruem, eneruis	24
eneruo	, as	VER	 	eneruant, eneruauit	51
Enguini	, i	NOMpro	 		12
Enguinus	, a, um	ADJqua	 		21
enim1		ADV	 	enim	60
enim2		CONcoo	 	enim	81
enimuero		ADV	 (forme en 1 ou 2 mots) 	enimuero	60
Enipeus		NOMpro	Auto. (Greek)	Enipeus, Enipeo	17
Enispe		NOMpro	Auto. (Greek)	Enispe	17
eniteo	, es	VER	 	enituit, enitendum	52
enitesco	, is, ere	VER	 (pas de Parfait) 	enitesceret, enitescis	53
enitor2	, iti	VER	 	eniti, enixa	5L
enixe		ADV	 	enixe	60
enixus1	, us	NOMcom	 		14
enixus2	, a, um	ADJqua	 =ZELE 	enixior, enixam	21
Enna	, ae	NOMpro	Auto. 	Enna	11
Ennia	, ae	NOMpro	Auto. 	Enniam	11
Ennianus		ADJqua	Auto. 	Ennianos	2
Ennius	, i	NOMpro	 		12
Ennosigaeus	, i	NOMpro	Auto. 	Ennosigaeum	12
eno	, are	VER	 	enauerant, enare	51
enodatio	, nis	NOMcom	 		13
enodis	, is	ADJqua	 	enodibus, enodes	24
enodo	, as, are	VER	 	enodato	51
enormis	, is	ADJqua	 	enorme, enormis	24
enormitas	, tis	NOMcom	 	enormitatem	13
enotesco		VER	 	enotuisse, enotuit	53
enoto	, as, are	VER	Auto. 	enotabam, enotaret	51
ens	, entis	NOMcom	 =QVOD EST 		13
ensifer	, i	ADJqua	Auto. 	ensifer	2
ensiger	, a, um	ADJqua	 	ensiger	21
ensis	, is	NOMcom	 	ensem, ense	13
entasis		NOMcom	 (Greek)		17
Entellini	, i	NOMpro	 		12
Entellinus	, a, um	ADJqua	 		21
Entellus	, i	NOMpro	Auto. 	Entellus, Entellum	12
entheus	, a, um	ADJqua	 	entheo, entheas	21
enthymema	, tis	NOMcom	Auto. (Greek)	enthymema	17
enucleatus	, a, um	ADJqua	 =PVRGATVS, PVRVS, SIMPLEX 		21
enucleo	, as, are	VER	 	enucleata	51
enumeratio	, nis	NOMcom	 	enumerationem, enumeratio	13
enumero1	, as, are	VER	 	enumerare, enumerem	51
enuntiatiuus	, a, um	ADJqua	 	enuntiatiui, enuntiatiuom	21
enuntiatum	, i	NOMcom	 =ENVNTIATIO 	enuntiatum	12
enuntio	, as, are	VER	 	enuntiem, enuntiari	51
enutrio		VER	 		54
Enyo		NOMpro	Auto. (Greek)	Enyo	17
eo1	, n', is, ire	VER	 Aller 	ire, i	56
eo2		VERaux	 (auxiliaire) 		N6
eo3		ADV	 	eo	60
eodem		ADV	 	eodem	60
Eoi	, i	NOMpro	Auto. 	Eois, Eoos	12
Eos		NOMpro	Auto. (Greek)	Eos	17
Eous	, a, um	ADJqua	 		21
epaeetis		NOMcom	 (Greek)		17
epagon		VER	 		57
Epaminondas	, ae	NOMpro	Auto. 	Epaminondam, Epaminonda	11
Epaphroditus	, i	NOMpro	Auto. 	Epaphroditum	12
